level,type,file,line,message,advice
ERROR,frontmatter,docs/维护与报告/OCR专项建设报告_V3.md,1,frontmatter 缺少 title。,这会影响 VitePress 标题、SEO、搜索和维护脚本。
ERROR,frontmatter,docs/维护与报告/OCR专项建设报告_V3.md,1,frontmatter 缺少 description。,这会影响 VitePress 标题、SEO、搜索和维护脚本。
WARN,truth-risk,docs/核心研究/创游世界变量与作用域完全指南.md,217,强结论缺少附近证据提示：玩家变量表是一种结构化的玩家数据存储方式，支持多行多字段，适合存储复杂的玩家状态。,建议补充 OCR、截图、官方教程、引擎更新、实测或待验证标记；没有证据时降低语气。
WARN,duplicate-title,docs/核心研究/创游世界广播机制完全指南.md,1,标题重复：创游世界广播机制完全指南,标题重复不一定错误，但会影响搜索、侧边栏辨识和维护。
WARN,truth-risk,docs/核心研究/创游世界广播机制完全指南.md,22,强结论缺少附近证据提示：- 广播命名的最佳实践,建议补充 OCR、截图、官方教程、引擎更新、实测或待验证标记；没有证据时降低语气。
WARN,truth-risk,docs/核心研究/创游世界广播机制完全指南.md,80,强结论缺少附近证据提示：- 所有关心这个事件的对象都可以监听,建议补充 OCR、截图、官方教程、引擎更新、实测或待验证标记；没有证据时降低语气。
WARN,truth-risk,docs/核心研究/创游世界广播机制完全指南.md,396,强结论缺少附近证据提示：1. 广播名称是否完全一致（包括大小写）,建议补充 OCR、截图、官方教程、引擎更新、实测或待验证标记；没有证据时降低语气。
WARN,truth-risk,docs/核心研究/创游世界核心概念速查.md,76,强结论缺少附近证据提示：- [创游世界自定义组件完全指南](../脚本系统/专题研究/创游世界自定义组件完全指南.md) - 自定义组件完全指南,建议补充 OCR、截图、官方教程、引擎更新、实测或待验证标记；没有证据时降低语气。
WARN,truth-risk,docs/核心研究/创游世界脚本调试与问题排查完整指南.md,152,强结论缺少附近证据提示：| 广播名称 | 检查发送和接收的名称 | 完全一致（区分大小写）|,建议补充 OCR、截图、官方教程、引擎更新、实测或待验证标记；没有证据时降低语气。
WARN,truth-risk,docs/核心研究/创游世界脚本调试与问题排查完整指南.md,169,强结论缺少附近证据提示：- 在命名规范文档中记录所有广播名称,建议补充 OCR、截图、官方教程、引擎更新、实测或待验证标记；没有证据时降低语气。
WARN,truth-risk,docs/核心研究/创游世界脚本调试与问题排查完整指南.md,426,强结论缺少附近证据提示：1. 广播名称是否完全一致（区分大小写）,建议补充 OCR、截图、官方教程、引擎更新、实测或待验证标记；没有证据时降低语气。
WARN,truth-risk,docs/核心研究/创游世界脚本调试与问题排查完整指南.md,435,强结论缺少附近证据提示：**A**：检查是否使用了玩家变量（只对自己可见）。需要所有玩家可见的数据应使用房间变量或云变量。,建议补充 OCR、截图、官方教程、引擎更新、实测或待验证标记；没有证据时降低语气。
WARN,truth-risk,docs/核心研究/创游世界联机同步与多人游戏设计指南.md,8,强结论缺少附近证据提示：本文档系统介绍创游世界引擎的联机同步机制与多人游戏设计方法，涵盖同步模式选择、数据同步策略、联机UI优化、常见问题与最佳实践。,建议补充 OCR、截图、官方教程、引擎更新、实测或待验证标记；没有证据时降低语气。
WARN,truth-risk,docs/核心研究/创游世界联机同步与多人游戏设计指南.md,99,强结论缺少附近证据提示：**适用场景**：联机时需要所有玩家看到一致，但不需要跨会话保持的数据。,建议补充 OCR、截图、官方教程、引擎更新、实测或待验证标记；没有证据时降低语气。
WARN,truth-risk,docs/核心研究/创游世界联机同步与多人游戏设计指南.md,126,强结论缺少附近证据提示：**缺点**：需要确保广播能被所有相关对象接收,建议补充 OCR、截图、官方教程、引擎更新、实测或待验证标记；没有证据时降低语气。
WARN,truth-risk,docs/核心研究/创游世界联机同步与多人游戏设计指南.md,334,强结论缺少附近证据提示：- [创游世界联机系统完全指南](/核心研究/创游世界联机系统完全指南.md) - 联机系统完整指南,建议补充 OCR、截图、官方教程、引擎更新、实测或待验证标记；没有证据时降低语气。
WARN,truth-risk,docs/核心研究/创游世界联机玩法完全指南.md,27,强结论缺少附近证据提示：1. **联机核心是同步**：让所有玩家看到一致的游戏状态,建议补充 OCR、截图、官方教程、引擎更新、实测或待验证标记；没有证据时降低语气。
WARN,truth-risk,docs/核心研究/创游世界联机玩法完全指南.md,47,强结论缺少附近证据提示：创游世界提供内置联机功能，支持：,建议补充 OCR、截图、官方教程、引擎更新、实测或待验证标记；没有证据时降低语气。
WARN,truth-risk,docs/核心研究/创游世界联机玩法完全指南.md,212,强结论缺少附近证据提示：地图属性对同一地图的所有玩家可见。,建议补充 OCR、截图、官方教程、引擎更新、实测或待验证标记；没有证据时降低语气。
WARN,truth-risk,docs/核心研究/创游世界联机玩法完全指南.md,391,强结论缺少附近证据提示：- [创游世界联机系统完全指南](/核心研究/创游世界联机系统完全指南.md),建议补充 OCR、截图、官方教程、引擎更新、实测或待验证标记；没有证据时降低语气。
WARN,truth-risk,docs/核心研究/创游世界联机系统入门.md,8,强结论缺少附近证据提示：创游世界的联机系统允许多名玩家同时参与同一游戏场景。本文档讲解联机模式的核心机制、数据同步策略、UI 通信注意事项，以及多人协作的最佳实践。,建议补充 OCR、截图、官方教程、引擎更新、实测或待验证标记；没有证据时降低语气。
WARN,truth-risk,docs/核心研究/创游世界联机系统入门.md,33,强结论缺少附近证据提示：4. **广播有本地和地图之分**：地图级广播所有玩家都能收到，UI 广播可能只在本地有效,建议补充 OCR、截图、官方教程、引擎更新、实测或待验证标记；没有证据时降低语气。
WARN,truth-risk,docs/核心研究/创游世界联机系统入门.md,45,强结论缺少附近证据提示：- 所有玩家共享同一个地图实例,建议补充 OCR、截图、官方教程、引擎更新、实测或待验证标记；没有证据时降低语气。
WARN,truth-risk,docs/核心研究/创游世界联机系统入门.md,73,强结论缺少附近证据提示：- **跨设备同步**：云变量存储在服务器端，所有玩家都能访问,建议补充 OCR、截图、官方教程、引擎更新、实测或待验证标记；没有证据时降低语气。
